Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,4,16,30,121,178,166,109,301,184,9,20.1177661139,971.1812133789,51.7965655514,75.6060575598,1.4787505275,0,291.2836303711,1.4283519983,0,,,,,,,,,,,,,,
2014,1,4,17,30,4,0,4,15,38,17,8,17.898858587,971.9348754883,54.2926616351,87.095009127,1.4405634286,0,310.0290527344,1.4387387037,0,,,,,,,,,,,,,,
2014,1,4,18,30,0,0,0,0,0,0,8,17.1716116411,972.4685668945,58.6216079212,99.3521663279,1.3934707801,0,327.0345458984,1.5971285105,0,,,,,,,,,,,,,,
2014,1,4,19,30,0,0,0,0,0,0,6,16.3832727869,972.9479980469,53.0714958517,112.1069692755,1.3326082928,0,341.7811279297,1.660892725,0,,,,,,,,,,,,,,
2014,1,4,20,30,0,0,0,0,0,0,7,15.4309809077,973.1970214844,59.123707784,125.1904513879,1.2719205351,0,355.5505065918,1.7103624344,0,,,,,,,,,,,,,,
2014,1,4,21,30,0,0,0,0,0,0,7,14.503919145,973.1548461914,62.018260319,138.4828928727,1.2398955673,0,5.5973129272,1.7298349142,0,,,,,,,,,,,,,,
2014,1,4,22,30,0,0,0,0,0,0,7,13.6433377328,972.7424926758,68.1245699718,151.8811768276,1.2253895738,0,15.3414535522,1.7098046541,0,,,,,,,,,,,,,,
2014,1,4,23,30,0,0,0,0,0,0,8,12.8568443165,972.2237548828,72.5285917376,165.2084528612,1.2172495351,0,27.4277915955,1.6464005709,0,,,,,,,,,,,,,,
2014,1,5,0,30,0,0,0,0,0,0,8,12.1083787513,972.0309448242,78.4151761773,176.0610034885,1.2140489181,0,41.1595726013,1.5736032724,0,,,,,,,,,,,,,,
2014,1,5,1,30,0,0,0,0,0,0,8,11.3912480079,971.8979492188,84.1190405436,166.4584043774,1.2113679787,0,51.260509491,1.483555913,0,,,,,,,,,,,,,,
2014,1,5,2,30,0,0,0,0,0,0,9,10.7291446085,971.6280517578,89.1214615121,153.1605146585,1.208137231,0,54.7350158691,1.2780076265,0,,,,,,,,,,,,,,
2014,1,5,3,30,0,0,0,0,0,0,9,10.1441116552,971.2286987305,93.3325527724,139.7559470306,1.2050669349,0,54.8887176514,1.0752638578,0,,,,,,,,,,,,,,
2014,1,5,4,30,0,0,0,0,0,0,9,9.6308745573,971.1069335938,97.0047744019,126.4451426912,1.2019032268,0,50.8302841187,0.8536044359,0,,,,,,,,,,,,,,
